Protein,Protein ID,Entry Name,Gene,Length,Organism,Protein Description,Protein Existence,Protein Probability,Top Peptide Probability,Total Peptides,Unique Peptides,Razor Peptides,Total Spectral Count,Unique Spectral Count,Razor Spectral Count,Total Intensity,Unique Intensity,Razor Intensity,Razor Assigned Modifications,Razor Observed Modifications,Indistinguishable Proteins,MCF_ctrl_1,MCF_ctrl_2,MCF_ctrl_3,MCF_ctrl_4,MCF_KD_1,MCF_KD_2,MCF_KD_3,MCF_KD_4,MDA_ctrl_1,MDA_ctrl_2,MDA_ctrl_3,MDA_ctrl_4,MDA_KD_1,MDA_KD_2,MDA_KD_3,MDA_KD_4
sp|P35221|CTNA1_HUMAN,P35221,CTNA1_HUMAN,CTNNA1,906,Homo sapiens OX=9606,Catenin alpha-1 ,1:Experimental evidence at protein level,1,0.999,33,25,33,100,73,100,228880624,228880624,228880624,"10K(304.2071), 11K(304.2071), 11M(15.9949), 12K(304.2071), 12M(15.9949), 13K(304.2071), 15K(304.2071), 16C(57.0214), 18K(304.2071), 1K(304.2071), 20K(304.2071), 20M(15.9949), 22K(304.2071), 2K(304.2071), 3K(304.2071), 3M(15.9949), 41K(304.2071), 4M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071), N-term(42.0106)",,,6439019.479,5230053.099,5782655.295,4030198.605,6945416.719,9429118.208,7165504.623,7494473.165,7640528.013,5864388.16,5479359.278,6924240.211,8828112.625,7377948.099,7091843.36,8158368.733
sp|P35222|CTNB1_HUMAN,P35222,CTNB1_HUMAN,CTNNB1,781,Homo sapiens OX=9606,Catenin beta-1 ,1:Experimental evidence at protein level,1,0.999,21,18,21,50,44,50,131641362,131641362,131641362,"10K(304.2071), 12K(304.2071), 18K(304.2071), 3M(15.9949), 4M(15.9949), 5K(304.2071), 7K(304.2071), 7M(15.9949), 8C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071), N-term(42.0106)",,,2815919.419,2147435.602,2570576.827,1693292.656,3074486.394,4499710.703,3778986.631,3768342.518,3786576.763,2854424.328,2748461.879,3382524.002,3983087.274,3426301.391,3274424.767,3828542.906
sp|P35226|BMI1_HUMAN,P35226,BMI1_HUMAN,BMI1,326,Homo sapiens OX=9606,Polycomb complex protein BMI-1 ,1:Experimental evidence at protein level,1,0.999,5,2,5,8,2,8,59271291,20419570,59271291,"11K(304.2071), 2C(57.0214), 5C(57.0214), 7K(304.2071), 8K(304.2071), N-term(304.2071)",,,768734.4499,589374.4696,681678.2508,468203.4653,729676.2336,1077080.859,846661.8128,874058.2672,1241167.516,978706.8498,933348.202,1196625.764,1322890.18,1125677.47,1122752.466,1274568.723
sp|P35232|PHB1_HUMAN,P35232,PHB1_HUMAN,PHB1,272,Homo sapiens OX=9606,Prohibitin 1 ,1:Experimental evidence at protein level,1,0.999,14,13,14,44,42,44,924155744,924155744,924155744,"11K(304.2071), 12K(304.2071), 1K(304.2071), 6C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)",,,8038671.646,6085407.094,6817538.248,4524800.551,7926990.036,12069375.39,10833696.65,9852275.986,5660870,6250406.09,4695133.831,7361027.993,7387355.711,6871715.845,7148320.724,7639005.687
sp|P35237|SPB6_HUMAN,P35237,SPB6_HUMAN,SERPINB6,376,Homo sapiens OX=9606,Serpin B6 ,1:Experimental evidence at protein level,1,0.999,19,18,19,79,78,79,373115632,296710380,373115632,"10K(304.2071), 11K(304.2071), 12K(304.2071), 15K(304.2071), 17K(304.2071), 1K(304.2071), 20K(304.2071), 20M(15.9949), 2C(57.0214), 2K(304.2071), 3M(15.9949), 4K(304.2071), 4M(15.9949), 6M(15.9949), 7C(57.0214), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)",,,5751223.478,4340498.243,5361579.793,3496321.285,6332112.849,8166147.023,5617395.275,6299009.137,9408198.741,6990314.657,6682904.997,9147845.326,12059094.97,10420303.23,9401987.477,10343254
sp|P35241|RADI_HUMAN,P35241,RADI_HUMAN,RDX,583,Homo sapiens OX=9606,Radixin ,1:Experimental evidence at protein level,1,0.999,20,20,20,46,46,46,1764736608,309369704,309369704,"10K(304.2071), 12K(304.2071), 13K(304.2071), 15K(304.2071), 16K(304.2071), 1K(304.2071), 2K(304.2071), 4K(304.2071), 4M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)",,,4528767.136,3620873.774,3837919.654,2214237.46,4512518.473,6154382.199,6033133.185,5288000.708,5649181.562,3942250.832,3768635.647,4542326.061,6843106.328,5730759.869,5824885.404,6441126.398
sp|P35244|RFA3_HUMAN,P35244,RFA3_HUMAN,RPA3,121,Homo sapiens OX=9606,Replication protein A 14 kDa subunit ,1:Experimental evidence at protein level,1,0.999,3,3,3,9,9,9,61014902,61014902,61014902,"10K(304.2071), 16K(304.2071), N-term(304.2071)",,,411038.6083,316757.2438,384538.2773,271729.2861,472469.0874,628051.6649,492113.8369,531839.9715,638994.3381,529733.5961,469341.2067,608908.4654,744979.623,688320.0409,645291.3294,749120.7263
sp|P35249|RFC4_HUMAN,P35249,RFC4_HUMAN,RFC4,363,Homo sapiens OX=9606,Replication factor C subunit 4 ,1:Experimental evidence at protein level,1,0.999,12,12,12,24,24,24,139631412,139631412,139631412,"10M(15.9949), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14K(304.2071), 20K(304.2071), 2C(57.0214), 2K(304.2071), 5C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)",,,1473622.851,1132590.998,1389946.008,983056.9821,1706052.431,2243354.667,1896354.531,1871934.526,2966367.036,2520248.203,2433952.35,3012256.706,3429438.652,2977911.276,2908826.03,3341620.6
sp|P35250|RFC2_HUMAN,P35250,RFC2_HUMAN,RFC2,354,Homo sapiens OX=9606,Replication factor C subunit 2 ,1:Experimental evidence at protein level,1,0.999,14,14,14,31,31,31,141345440,141345440,141345440,"10K(304.2071), 10M(15.9949), 11K(304.2071), 15K(304.2071), 16K(304.2071), 17K(304.2071), 2C(57.0214), 2M(15.9949), 5C(57.0214), 6C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,2224058.532,1840323.688,2206127.983,1481451.127,2703089.299,3545502.823,2834914.898,2863343.974,4314891.73,3523625.949,3400868.08,4335872.082,4984450.821,4373056.474,4264374.839,4879487.879
sp|P35251|RFC1_HUMAN,P35251,RFC1_HUMAN,RFC1,1148,Homo sapiens OX=9606,Replication factor C subunit 1 ,1:Experimental evidence at protein level,1,0.999,13,13,13,20,20,20,58551406,51820385,51820385,"10K(304.2071), 11C(57.0214), 12K(304.2071), 13K(304.2071), 14K(304.2071), 16K(304.2071), 17K(304.2071), 18C(57.0214), 19K(304.2071), 2K(304.2071), 5K(304.2071), 6M(15.9949), 7K(304.2071), 8K(304.2071), N-term(304.2071)",,,827833.1233,542506.9339,743118.8912,668061.6409,962734.6392,972200.8771,1013425.764,800733.1365,1415656.783,955769.8,844989.6871,1098709.475,1203234.417,965727.5389,1134443.616,1141450.057
sp|P35268|RL22_HUMAN,P35268,RL22_HUMAN,RPL22,128,Homo sapiens OX=9606,60S ribosomal protein L22 ,1:Experimental evidence at protein level,1,0.999,5,4,5,23,21,23,1221309936,1221309936,1221309936,"11K(304.2071), 14M(15.9949), 5C(57.0214), N-term(304.2071)",,,5447825.599,4324955.082,5469965.967,3362287.457,5690074.746,7746410.212,6843233.245,6019121.116,10947592.41,8236736.543,7832020.589,9687486.469,11914844.93,10316153.88,9709765.058,11383810.93
sp|P35269|T2FA_HUMAN,P35269,T2FA_HUMAN,GTF2F1,517,Homo sapiens OX=9606,General transcription factor IIF subunit 1 ,1:Experimental evidence at protein level,1,0.999,9,9,9,13,13,13,55116755,55116755,55116755,"11K(304.2071), 13K(304.2071), 19K(304.2071), 1K(304.2071), 2K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071), N-term(42.0106)",,,702813.4211,667285.6153,680604.4334,477256.8702,827650.7396,1137911.077,959243.5017,946722.5692,1493129.88,1204315.041,1246548.155,1523265.884,1911317.492,1638795.794,1542381.838,1785165.563
sp|P35270|SPRE_HUMAN,P35270,SPRE_HUMAN,SPR,261,Homo sapiens OX=9606,Sepiapterin reductase ,1:Experimental evidence at protein level,1,0.999,8,7,8,23,22,23,169712028,169712028,169712028,"10K(304.2071), 13M(15.9949), 15K(304.2071), 2M(15.9949), 3C(57.0214), 6C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)",,,1190223.69,893602.0676,1109144.617,773264.2663,1215241.853,1527908.264,1504514.454,1358473.59,1234195.209,905502.4508,877885.106,1198652.193,1487456.565,1298952.777,1319866.415,1333678.561
sp|P35475|IDUA_HUMAN,P35475,IDUA_HUMAN,IDUA,653,Homo sapiens OX=9606,Alpha-L-iduronidase ,1:Experimental evidence at protein level,1,0.999,7,7,7,9,9,9,33650664,33650664,33650664,N-term(304.2071),,,444541.184,349608.0419,367892.3993,159150.521,481977.0616,639288.0506,595396.9952,535665.2867,301322.1352,205552.5319,211770.666,237797.1405,299749.6169,252955.8871,260834.9964,283998.1227
sp|P35520|CBS_HUMAN,P35520,CBS_HUMAN,CBS,551,Homo sapiens OX=9606,Cystathionine beta-synthase ,1:Experimental evidence at protein level,1,0.999,9,9,9,13,13,13,101329134,101329134,101329134,"2K(304.2071), 5K(304.2071), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,1810863.561,1244982.831,1411311.674,568373.9879,1930847.585,2654202.637,2579885.08,2168373.515,602290.8433,430714.6912,345188.4689,430229.4657,535904.4355,457263.0169,429397.6908,491593.8085
sp|P35527|K1C9_HUMAN,P35527,K1C9_HUMAN,KRT9,623,Homo sapiens,"Keratin, type I cytoskeletal 9 ",1:Experimental evidence at protein level,1,0.999,20,20,20,49,49,49,547076760,236446068,236446068,"10K(304.2071), 14K(304.2071), 15K(304.2071), 16K(304.2071), 17K(304.2071), 1K(304.2071), 21K(304.2071), 22K(304.2071), 23K(304.2071), 29K(304.2071), 2K(304.2071), 30K(304.2071), 5M(15.9949), 7K(304.2071), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)",,,4481751.744,4152371.162,6410486.826,3939932.112,4952584.898,6369298.906,6885852.32,6201105.573,4592068.775,5651866.646,8542414.627,15339366.88,7497926.733,5915604.8,6961400.692,4111823.687
sp|P35568|IRS1_HUMAN,P35568,IRS1_HUMAN,IRS1,1242,Homo sapiens OX=9606,Insulin receptor substrate 1 ,1:Experimental evidence at protein level,1,0.999,18,18,18,26,26,26,32386154,32386154,32386154,"10C(57.0214), 10K(304.2071), 11M(15.9949), 12C(57.0214), 12K(304.2071), 12M(15.9949), 14K(304.2071), 16K(304.2071), 1C(57.0214), 1K(304.2071), 24C(57.0214), 7C(57.0214), 8K(304.2071), N-term(304.2071)",,,789851.0027,602667.4694,721245.2805,427113.2881,802033.797,1035431.698,1016905.448,890279.7607,751648.0835,603382.707,573665.1442,728644.3511,935122.1509,772839.8831,780944.0495,817159.2883
sp|P35573|GDE_HUMAN,P35573,GDE_HUMAN,AGL,1532,Homo sapiens OX=9606,Glycogen debranching enzyme ,1:Experimental evidence at protein level,1,0.999,23,23,23,36,36,36,81495894,81495894,81495894,"10K(304.2071), 11K(304.2071), 12K(304.2071), 13C(57.0214), 14K(304.2071), 1K(304.2071), 7K(304.2071), 8C(57.0214), 8K(304.2071), N-term(304.2071)",,,2183535.354,1775180.173,1993963.282,1483786.753,2307646.526,2927934.129,2226981.596,2508325.184,3006526.544,2538758.562,2387880.323,3164201.073,4094188.166,3361414.073,3591765.257,3536818.358
sp|P35579|MYH9_HUMAN,P35579,MYH9_HUMAN,MYH9,1960,Homo sapiens OX=9606,Myosin-9 ,1:Experimental evidence at protein level,1,0.999,114,90,114,570,466,570,3085298880,3060043840,3085298880,"10K(304.2071), 10M(15.9949), 11K(304.2071), 12K(304.2071), 12M(15.9949), 13C(57.0214), 13K(304.2071), 14C(57.0214), 14K(304.2071), 15K(304.2071), 16K(304.2071), 17K(304.2071), 18K(304.2071), 19K(304.2071), 1C(57.0214), 1K(304.2071), 20K(304.2071), 21K(304.2071), 25K(304.2071), 26K(304.2071), 27K(304.2071), 28K(304.2071), 2C(57.0214), 2K(304.2071), 2M(15.9949), 3C(57.0214), 3K(304.2071), 3M(15.9949), 4C(57.0214), 4M(15.9949), 5M(15.9949), 6K(304.2071), 6M(15.9949), 7K(304.2071), 7M(15.9949), 8C(57.0214), 8K(304.2071), 8M(15.9949), 9C(57.0214), 9K(304.2071), 9M(15.9949), N-term(304.2071), N-term(42.0106)",,,30310714.16,23790533.49,28442308.64,20980743.9,32197794.81,42017366.01,37407423.97,35445122.99,112317086.1,79967578.18,76258098.04,91570811.08,116981911.9,98431287.09,94541094.6,109312377.8
sp|P35580|MYH10_HUMAN,P35580,MYH10_HUMAN,MYH10,1976,Homo sapiens OX=9606,Myosin-10 ,1:Experimental evidence at protein level,1,0.999,60,53,60,123,105,123,2628612736,615603304,802667344,"10K(304.2071), 10M(15.9949), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14K(304.2071), 15K(304.2071), 15M(15.9949), 16K(304.2071), 17K(304.2071), 19K(304.2071), 1K(304.2071), 20K(304.2071), 2K(304.2071), 2M(15.9949), 5K(304.2071), 5M(15.9949), 6K(304.2071), 6M(15.9949), 7K(304.2071), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)",,,9870543.121,8038661.639,9386006.04,5822028.079,11096652.57,15082827.02,12428676.37,12463936.88,11044261.65,8907034.983,8214447.465,10476202.45,15304507.14,12822065.49,12476823.13,14380186.73
sp|P35606|COPB2_HUMAN,P35606,COPB2_HUMAN,COPB2,906,Homo sapiens OX=9606,Coatomer subunit beta' ,1:Experimental evidence at protein level,1,0.999,34,33,34,92,89,92,530058384,530058384,530058384,"10K(304.2071), 10M(15.9949), 11M(15.9949), 13K(304.2071), 14K(304.2071), 15K(304.2071), 17K(304.2071), 18K(304.2071), 19K(304.2071), 1K(304.2071), 26K(304.2071), 29K(304.2071), 3M(15.9949), 4C(57.0214), 4M(15.9949), 5M(15.9949), 6K(304.2071), 7K(304.2071), 8K(304.2071), 8M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)",,,6799561.155,5292080.639,6325192.071,3956300.169,8102260.91,10605361.84,8277979.593,8580188.085,8025521.825,6321200.42,6257196.583,7768004.477,9540430.632,8270121.686,8141741.587,9150463.073
sp|P35610|SOAT1_HUMAN,P35610,SOAT1_HUMAN,SOAT1,550,Homo sapiens OX=9606,Sterol O-acyltransferase 1 ,1:Experimental evidence at protein level,1,0.999,4,4,4,11,11,11,43400987,43400987,43400987,"13M(15.9949), 14K(304.2071), 21K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)",,,406776.5881,311329.6614,394155.4213,406555.0128,548089.9816,571709.4842,387262.8016,449181.7003,696809.5731,792739.7528,668683.1119,1028713.671,1021579.627,848080.0399,1405335.958,1008776.676
sp|P35611|ADDA_HUMAN,P35611,ADDA_HUMAN,ADD1,737,Homo sapiens OX=9606,Alpha-adducin ,1:Experimental evidence at protein level,1,0.999,10,10,10,17,17,17,50905035,50905035,50905035,"10C(57.0214), 10K(304.2071), 12K(304.2071), 14M(15.9949), 15K(304.2071), 18K(304.2071), 24C(57.0214), 9K(304.2071), N-term(304.2071)",,,663746.9413,580177.2826,600309.1691,457920.6426,709322.8331,961339.9805,691420.1514,777752.9381,1377837.398,1170121.582,1012178.584,1381403.641,1661451.191,1434034.17,1411814.346,1647306.71
sp|P35613|BASI_HUMAN,P35613,BASI_HUMAN,BSG,385,Homo sapiens OX=9606,Basigin ,1:Experimental evidence at protein level,1,0.999,7,7,7,18,18,18,483885964,483885964,483885964,"10M(15.9949), 14K(304.2071), 17K(304.2071), 18K(304.2071), 1K(304.2071), 2K(304.2071), 6K(304.2071), N-term(304.2071)",,,1471867.147,1274494.518,1297951.205,845921.5249,1531679.752,2380696.989,2158996.285,2208204.916,4257330.466,3448267.452,3215857.035,3722327.494,4693005.978,4275484.587,4081801.295,4870363.111
sp|P35625|TIMP3_HUMAN,P35625,TIMP3_HUMAN,TIMP3,211,Homo sapiens OX=9606,Metalloproteinase inhibitor 3 ,1:Experimental evidence at protein level,1,0.999,9,9,9,21,21,21,1314010616,1314010616,1314010616,"12K(304.2071), 2C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 7K(304.2071), 8K(304.2071), N-term(304.2071)",,,3021477.057,2282639.696,3174517.173,2099236.36,3267333.895,4781708.332,3868633.729,4297705.186,4887952.44,4056753.204,3487187.386,4408455.074,5747642.133,4773436.762,4705180.445,5710202.515
sp|P35637|FUS_HUMAN,P35637,FUS_HUMAN,FUS,526,Homo sapiens OX=9606,RNA-binding protein FUS ,1:Experimental evidence at protein level,1,0.999,12,10,12,50,42,50,509768248,509768248,509768248,"14K(304.2071), 16K(304.2071), 16M(15.9949), 17K(304.2071), 1C(57.0214), 1K(304.2071), 2K(304.2071), 3K(304.2071), 5M(15.9949), 6C(57.0214), 6M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,2974296.336,2585085.144,2969158.736,2251239.537,3192447.694,4562872.382,3140656.521,3813229.558,4262892.176,3786068.97,3663078.905,4705641.134,5687029.976,4831789.344,4680459.796,5436931.4
sp|P35658|NU214_HUMAN,P35658,NU214_HUMAN,NUP214,2090,Homo sapiens OX=9606,Nuclear pore complex protein Nup214 ,1:Experimental evidence at protein level,1,0.999,27,27,27,61,61,61,97279096,97279096,97279096,"10K(304.2071), 10M(15.9949), 11M(15.9949), 12K(304.2071), 12M(15.9949), 13K(304.2071), 14K(304.2071), 15K(304.2071), 17K(304.2071), 18K(304.2071), 20K(304.2071), 2C(57.0214), 2M(15.9949), 6M(15.9949), 7K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)",,,2243912.752,1924698.548,2123996.253,1567363.506,2412623.541,3238961.872,2377024.067,2665986.934,3317664.122,2612640.237,2522352.69,3319506.851,4024812.626,3460504.004,3390770.013,3855471.877
sp|P35659|DEK_HUMAN,P35659,DEK_HUMAN,DEK,375,Homo sapiens OX=9606,Protein DEK ,1:Experimental evidence at protein level,1,0.999,18,18,18,38,38,38,237209624,237209624,237209624,"12K(304.2071), 12M(15.9949), 13K(304.2071), 14K(304.2071), 16K(304.2071), 17K(304.2071), 18K(304.2071), 19K(304.2071), 1K(304.2071), 2K(304.2071), 3C(57.0214), 4K(304.2071), 6K(304.2071), 6M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,2168070.611,1638987.59,2187968.304,1600861.598,2631046.348,3352107.902,2923287.22,2553779.718,5265829.579,3664631.296,3497033.988,4325417.69,5442403.422,4364548.46,4606729.528,4731027.258
sp|P35749|MYH11_HUMAN,P35749,MYH11_HUMAN,MYH11,1972,Homo sapiens OX=9606,Myosin-11 ,1:Experimental evidence at protein level,1,0.999,1,1,1,1,1,1,2475760128,2623652,2623652,"13K(304.2071), 14K(304.2071), N-term(304.2071)",,,34938.4338,26606.8865,26210.2686,19613.0746,30599.5798,31768.4618,29263.3028,38013.0542,81283.5847,60840.3527,67303.7753,69200.5542,113911.7891,63405.2585,109830.6091,102721.3575
sp|P35754|GLRX1_HUMAN,P35754,GLRX1_HUMAN,GLRX,106,Homo sapiens OX=9606,Glutaredoxin-1 ,1:Experimental evidence at protein level,1,0.999,4,4,4,8,8,8,33995456,33995456,33995456,"11K(304.2071), 12C(57.0214), 12K(304.2071), 6K(304.2071), 7C(57.0214), 8K(304.2071), 9C(57.0214), N-term(304.2071)",,,541606.7145,404868.7986,493284.6195,299054.7924,511245.4588,657797.7969,548961.4398,512551.3716,1018903.157,743858.7474,620469.8808,831147.8467,1136770.438,948268.9987,912568.9078,939927.9409
sp|P35813|PPM1A_HUMAN,P35813,PPM1A_HUMAN,PPM1A,382,Homo sapiens OX=9606,Protein phosphatase 1A ,1:Experimental evidence at protein level,1,0.999,5,5,5,9,9,9,95252323,88480479,88480479,"10M(15.9949), 12K(304.2071), 19K(304.2071), N-term(304.2071)",,,438552.1479,348532.3551,440484.3947,302037.2345,443726.49,578037.6572,398810.3219,524688.8085,430647.1901,349643.6654,345833.6099,471830.1456,601066.4922,511919.0885,485159.3266,511588.7681
sp|P35869|AHR_HUMAN,P35869,AHR_HUMAN,AHR,848,Homo sapiens OX=9606,Aryl hydrocarbon receptor ,1:Experimental evidence at protein level,1,0.999,7,7,7,13,13,13,59533350,59533350,59533350,"11C(57.0214), 11K(304.2071), 13K(304.2071), 16K(304.2071), 3K(304.2071), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)",,,388950.9129,307396.724,349829.5817,255962.04,396503.596,516383.1754,389215.4055,440592.2345,936640.8091,714564.7403,723701.8319,880195.2537,1120539.303,1014585.885,938889.5698,989096.3478
sp|P35908|K22E_HUMAN,P35908,K22E_HUMAN,KRT2,639,Homo sapiens,"Keratin, type II cytoskeletal 2 epidermal ",1:Experimental evidence at protein level,1,0.999,19,17,19,33,27,33,2137319072,233741510,233741510,"11K(304.2071), 12K(304.2071), 14K(304.2071), 15K(304.2071), 18K(304.2071), 19K(304.2071), 2K(304.2071), 6M(15.9949), 7M(15.9949), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,1905721.163,1349942.779,1791414.132,2000897.219,2186346.896,2532828.341,2461438.227,2091755.146,1849446.904,2272437.77,3803962.196,4398537.552,2666761.764,2598620.047,2651661.245,2709440.325
sp|P35914|HMGCL_HUMAN,P35914,HMGCL_HUMAN,HMGCL,325,Homo sapiens OX=9606,"Hydroxymethylglutaryl-CoA lyase, mitochondrial ",1:Experimental evidence at protein level,1,0.999,6,6,6,11,11,11,69553814,69553814,69553814,"11K(304.2071), 13K(304.2071), 14K(304.2071), 5M(15.9949), 6C(57.0214), 7K(304.2071), 8K(304.2071), N-term(304.2071)",,,1219296.691,936192.7663,1171637.517,684374.5839,1229084.8,1641297.513,1400139.121,1389147.716,1184043.782,883737.7671,803069.8519,1085827.125,1281991.012,1073487.664,1010958.095,1167580.827
sp|P35998|PRS7_HUMAN,P35998,PRS7_HUMAN,PSMC2,433,Homo sapiens OX=9606,26S proteasome regulatory subunit 7 ,1:Experimental evidence at protein level,1,0.999,32,31,32,96,95,96,480669584,425291576,480669584,"10K(304.2071), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14K(304.2071), 16K(304.2071), 16M(15.9949), 18K(304.2071), 18M(15.9949), 1K(304.2071), 24C(57.0214), 25K(304.2071), 2C(57.0214), 2M(15.9949), 30K(304.2071), 3C(57.0214), 3M(15.9949), 5K(304.2071), 5M(15.9949), 6K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)",,,4952134.695,3816726.241,4557614.499,3066144.484,5571632.876,7693817.849,6520929.622,6309223.371,8324658.783,6252772.59,5766954.906,7207682.695,9155419.949,7717716.898,7201472.981,8370795.234
sp|P36404|ARL2_HUMAN,P36404,ARL2_HUMAN,ARL2,184,Homo sapiens OX=9606,ADP-ribosylation factor-like protein 2 ,1:Experimental evidence at protein level,1,0.999,8,8,8,18,18,18,81666421,81666421,81666421,"10K(304.2071), 11K(304.2071), 18K(304.2071), 19K(304.2071), 1K(304.2071), 3M(15.9949), 7K(304.2071), N-term(304.2071)",,,880221.6463,717396.8656,839277.6044,665225.3399,980741.4063,1248829.459,1080022.728,1076432.104,1624052.038,1283658.938,1203775.977,1558002.759,1947688.315,1699280.523,1601969.966,1847867.504
sp|P36405|ARL3_HUMAN,P36405,ARL3_HUMAN,ARL3,182,Homo sapiens OX=9606,ADP-ribosylation factor-like protein 3 ,1:Experimental evidence at protein level,1,0.999,6,6,6,19,19,19,127438286,127438286,127438286,"11K(304.2071), 17K(304.2071), 19K(304.2071), 8K(304.2071), N-term(304.2071)",,,1109970.199,928518.9491,1161861.557,775269.4421,1143261.427,1580121.203,1304229.515,1313318.47,1027822.574,894588.9019,794065.3121,1109573.054,1344954.227,1217923.456,1069285.778,1173322.848
sp|P36507|MP2K2_HUMAN,P36507,MP2K2_HUMAN,MAP2K2,400,Homo sapiens OX=9606,Dual specificity mitogen-activated protein kinase kinase 2 ,1:Experimental evidence at protein level,1,0.999,21,11,21,59,22,59,473496888,132127864,473496888,"10K(304.2071), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14C(57.0214), 14K(304.2071), 14M(15.9949), 15K(304.2071), 1C(57.0214), 1K(304.2071), 2C(57.0214), 3K(304.2071), 4K(304.2071), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,3410555.865,2664646.356,3141579.605,2053133.693,4088072.584,5461895.514,4873030.114,4485919.147,5279423.289,3857451.98,3648342.766,4534660.165,5898165.862,5046718.186,4805803.691,5371793.182
sp|P36542|ATPG_HUMAN,P36542,ATPG_HUMAN,ATP5F1C,298,Homo sapiens OX=9606,"ATP synthase subunit gamma, mitochondrial ",1:Experimental evidence at protein level,1,0.999,13,13,13,36,36,36,456396784,456396784,456396784,"10K(304.2071), 11K(304.2071), 12K(304.2071), 3C(57.0214), 3M(15.9949), 4K(304.2071), 4M(15.9949), 5M(15.9949), 8K(304.2071), 9K(304.2071), N-term(304.2071)",,,2771047.296,2210848.775,2853404.416,1617054.48,3455849.451,4930453.844,3903963.919,4093958.158,2696087.361,2126561.675,2039638.829,2305233.457,3026552.688,2675685.522,2495618.125,2944818.069
sp|P36543|VATE1_HUMAN,P36543,VATE1_HUMAN,ATP6V1E1,226,Homo sapiens OX=9606,V-type proton ATPase subunit E 1 ,1:Experimental evidence at protein level,1,0.999,11,6,11,28,16,28,160483608,160483608,160483608,"11K(304.2071), 13K(304.2071), 14K(304.2071), 16K(304.2071), 1K(304.2071), 20K(304.2071), 2M(15.9949), 3M(15.9949), 4M(15.9949), 6K(304.2071), 7K(304.2071), 7M(15.9949), 8M(15.9949), 9M(15.9949), N-term(304.2071)",,,1670806.919,1387710.722,1364881.529,956950.5116,1755913.393,2449833.608,2308208.492,2003100.34,2392712.188,1742190.288,1659563.298,2088863.033,2814359.035,2347158.306,2317795.431,2630969.654
sp|P36551|HEM6_HUMAN,P36551,HEM6_HUMAN,CPOX,454,Homo sapiens OX=9606,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial ",1:Experimental evidence at protein level,1,0.999,8,8,8,19,19,19,138550866,138550866,138550866,"11K(304.2071), 12K(304.2071), 14C(57.0214), 15K(304.2071), 18K(304.2071), 4M(15.9949), 8C(57.0214), N-term(304.2071)",,,803399.4553,641456.9174,755713.162,536459.3644,901997.1192,1193163.929,991946.323,1018437.262,2198331.486,1657588.084,1600155.61,2056041.775,2402546.952,2253662.179,1791594.434,2161309.313
sp|P36575|ARRC_HUMAN,P36575,ARRC_HUMAN,ARR3,388,Homo sapiens OX=9606,Arrestin-C ,1:Experimental evidence at protein level,1,0.999,3,3,3,6,6,6,83552634,83552634,83552634,"10K(304.2071), 2K(304.2071), N-term(304.2071)",,,232480.2145,182292.8371,218216.5454,166268.7358,258390.2507,335603.001,276148.8076,293543.1716,272693.1349,222004.5061,223298.9219,285349.8684,363482.6055,310438.3924,325232.9194,334943.853
